gsName,gsGene,gsRange,gsSource,gsCitation
CD8_c2_Teff,SH3BP5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,MYO1G,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,S1PR1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c2_Teff,RIPOR2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,LTB,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,SELL,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,LEF1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,NOSIP,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,EIF3E,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,CCR7,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,EEF1B2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,MAL,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,GLTSCR2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,AIF1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,GNB2L1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,S100B,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,C6orf48,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,EEF1A1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,LDHB,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,TCF7,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,TMEM123,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,ACTN1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,TPT1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,TRABD2A,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,PASK,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,DONSON,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,FLT3LG,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,TXK,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,IL7R,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,UQCRB,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,LDLRAP1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,PABPC1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,UBA52,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,SH3YL1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,C1orf162,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,EIF3L,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,NACA,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,NPM1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,KLF2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,SPINT2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,NAP1L1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,MYC,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,SERINC5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,FOXP1,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,EEF2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,RASGRP2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,PFDN5,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,NELL2,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
CD8_c3_Tn,RGS10,PanCancer_TCell,Tcell_NatureMedicine,PMID37248301
