gsName,gsGene,gsRange,gsSource,gsCitation
iCMS2_Up,ABRACL,CRC,iCMS,PMID35773407
iCMS2_Up,UTP4,CRC,iCMS,PMID35773407
iCMS2_Up,LAGE3,CRC,iCMS,PMID35773407
iCMS2_Up,LDHB,CRC,iCMS,PMID35773407
iCMS2_Up,SLC29A1,CRC,iCMS,PMID35773407
iCMS2_Up,GPALPP1,CRC,iCMS,PMID35773407
iCMS2_Up,NIP7,CRC,iCMS,PMID35773407
iCMS2_Up,TPX2,CRC,iCMS,PMID35773407
iCMS2_Up,MED30,CRC,iCMS,PMID35773407
iCMS2_Up,MALSU1,CRC,iCMS,PMID35773407
iCMS2_Up,PAN3,CRC,iCMS,PMID35773407
iCMS2_Up,TSC22D1,CRC,iCMS,PMID35773407
iCMS2_Up,LAPTM4B,CRC,iCMS,PMID35773407
iCMS2_Up,DNAJC15,CRC,iCMS,PMID35773407
iCMS2_Up,PDP1,CRC,iCMS,PMID35773407
iCMS2_Up,OGFR,CRC,iCMS,PMID35773407
iCMS2_Up,EPB41L1,CRC,iCMS,PMID35773407
iCMS2_Up,SNRPB,CRC,iCMS,PMID35773407
iCMS2_Up,SOX4,CRC,iCMS,PMID35773407
iCMS2_Up,ZFAND1,CRC,iCMS,PMID35773407
iCMS2_Up,PAK1IP1,CRC,iCMS,PMID35773407
iCMS2_Up,CDK4,CRC,iCMS,PMID35773407
iCMS2_Up,HSD17B10,CRC,iCMS,PMID35773407
iCMS2_Up,BOP1,CRC,iCMS,PMID35773407
iCMS2_Up,GPCPD1,CRC,iCMS,PMID35773407
iCMS2_Up,MRPL13,CRC,iCMS,PMID35773407
iCMS2_Up,CDC25B,CRC,iCMS,PMID35773407
iCMS2_Up,SUCLA2,CRC,iCMS,PMID35773407
iCMS2_Up,ESF1,CRC,iCMS,PMID35773407
iCMS2_Up,C8orf59,CRC,iCMS,PMID35773407
iCMS2_Up,IMMP2L,CRC,iCMS,PMID35773407
iCMS2_Up,BCL2L1,CRC,iCMS,PMID35773407
iCMS2_Up,NHLRC3,CRC,iCMS,PMID35773407
iCMS2_Up,RPIA,CRC,iCMS,PMID35773407
