gsName,gsGene,gsRange,gsSource,gsCitation
aDC_IRIS_2,H6PD,ImmEva,xCell,PMID29141660
aDC_IRIS_2,WTAP,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ARHGEF11,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TMCC2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,HS3ST3B1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ABI1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,BCL2L11,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ARPC4,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ARFRP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RAMP3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,LILRB2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,BCKDK,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CXCL13,ImmEva,xCell,PMID29141660
aDC_IRIS_2,EXOC5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MTHFD2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SEC24A,ImmEva,xCell,PMID29141660
aDC_IRIS_2,NEU3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,LILRB1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CD300C,ImmEva,xCell,PMID29141660
aDC_IRIS_2,LILRB5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RAB35,ImmEva,xCell,PMID29141660
aDC_IRIS_2,OGFR,ImmEva,xCell,PMID29141660
aDC_IRIS_2,HPS5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TREX1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TFEC,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RAB21,ImmEva,xCell,PMID29141660
aDC_IRIS_2,KDM6B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,FAM175B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MGRN1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TDRD7,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ABCA6,ImmEva,xCell,PMID29141660
aDC_IRIS_2,DNPEP,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ACOT9,ImmEva,xCell,PMID29141660
aDC_IRIS_2,NUP62,ImmEva,xCell,PMID29141660
aDC_IRIS_2,BCL2L13,ImmEva,xCell,PMID29141660
aDC_IRIS_2,FBXL4,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SIGLEC7,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CYTH4,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SIGLEC9,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TOR1B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,GPR132,ImmEva,xCell,PMID29141660
aDC_IRIS_2,IL19,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CD209,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ANKFY1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,AZIN1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RIN2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TBC1D13,ImmEva,xCell,PMID29141660
aDC_IRIS_2,GPN2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,C1orf27,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ARL8B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ZNF654,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TBC1D22B,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MFN1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SCYL2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CHFR,ImmEva,xCell,PMID29141660
aDC_IRIS_2,KCNK13,ImmEva,xCell,PMID29141660
aDC_IRIS_2,C5orf15,ImmEva,xCell,PMID29141660
aDC_IRIS_2,RPGRIP1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,CAMK1G,ImmEva,xCell,PMID29141660
aDC_IRIS_2,DENND1A,ImmEva,xCell,PMID29141660
aDC_IRIS_2,GPR107,ImmEva,xCell,PMID29141660
aDC_IRIS_2,HAMP,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MIIP,ImmEva,xCell,PMID29141660
aDC_IRIS_2,NSUN3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MMP25,ImmEva,xCell,PMID29141660
aDC_IRIS_2,UBE2Z,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TNIP2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,OPA3,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TMX1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SLCO5A1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,NETO2,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MED25,ImmEva,xCell,PMID29141660
aDC_IRIS_2,SLC25A28,ImmEva,xCell,PMID29141660
aDC_IRIS_2,ADPGK,ImmEva,xCell,PMID29141660
aDC_IRIS_2,MAGT1,ImmEva,xCell,PMID29141660
aDC_IRIS_2,DOT1L,ImmEva,xCell,PMID29141660
aDC_IRIS_2,LILRA5,ImmEva,xCell,PMID29141660
aDC_IRIS_2,TMEM41B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ACHE,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ALOX15B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,RHOG,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ATP1B3,ImmEva,xCell,PMID29141660
aDC_IRIS_3,BLVRA,ImmEva,xCell,PMID29141660
aDC_IRIS_3,C1QB,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CD80,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CD86,ImmEva,xCell,PMID29141660
aDC_IRIS_3,EIF5,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ENO1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ETV3,ImmEva,xCell,PMID29141660
aDC_IRIS_3,GNG5,ImmEva,xCell,PMID29141660
aDC_IRIS_3,RAPGEF1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,HCK,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL2RA,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL3RA,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL9,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL10,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL10RA,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IL12B,ImmEva,xCell,PMID29141660
aDC_IRIS_3,IRF4,ImmEva,xCell,PMID29141660
aDC_IRIS_3,RAB8A,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CXCL9,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MTF1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NFE2L2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,NFKB1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,P2RX7,ImmEva,xCell,PMID29141660
aDC_IRIS_3,PGK1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,MAP2K1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,PTGIR,ImmEva,xCell,PMID29141660
aDC_IRIS_3,RELA,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CLIP1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CCL7,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CCL8,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CCL17,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CCL19,ImmEva,xCell,PMID29141660
aDC_IRIS_3,CCL23,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SLAMF1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SLC1A2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SLC6A12,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SIGLEC1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,SRC,ImmEva,xCell,PMID29141660
aDC_IRIS_3,STAT2,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TRAF1,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TNFRSF4,ImmEva,xCell,PMID29141660
aDC_IRIS_3,TXN,ImmEva,xCell,PMID29141660
aDC_IRIS_3,ZBTB17,ImmEva,xCell,PMID29141660
